,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,69,PF,1595372473,61,-23.12,-134.97,66.18,17.6
1,Port Elizabeth,0,ZA,1595372410,51,-33.92,25.57,62.6,10.29
2,Yellowknife,75,CA,1595372428,57,62.46,-114.35,77.0,12.75
3,Alta Gracia,90,AR,1595372799,81,-31.65,-64.43,55.0,9.17
4,Mataura,94,NZ,1595372471,83,-46.19,168.86,39.0,3.0
5,Vila Velha,40,BR,1595372231,83,-20.33,-40.29,75.0,12.75
6,Leningradskiy,99,RU,1595372487,52,69.38,178.42,53.65,12.24
7,Cape Town,0,ZA,1595372482,100,-33.93,18.42,50.0,1.12
8,Avera,1,US,1595372454,70,33.19,-82.53,86.0,8.05
9,Isaszeg,21,HU,1595372799,100,47.53,19.4,70.0,2.24
10,Landau,0,DE,1595372799,58,49.21,8.11,63.0,6.78
11,Naze,20,JP,1595372488,88,28.37,129.48,82.4,2.24
12,Samarai,89,PG,1595372476,78,-10.62,150.67,77.09,16.02
13,Jaguarari,38,BR,1595372800,86,-10.26,-40.2,65.41,10.47
14,Kapaa,20,US,1595372472,66,22.08,-159.32,84.99,14.99
15,Punta Arenas,11,CL,1595372277,92,-53.15,-70.92,24.8,4.7
16,Asău,0,RO,1595372442,94,46.43,26.4,60.01,3.31
17,Hithadhoo,85,MV,1595372501,69,-0.6,73.08,84.22,4.81
18,Verkhoyansk,13,RU,1595372522,35,67.54,133.38,79.83,13.94
19,Mahébourg,75,MU,1595372537,72,-20.41,57.7,68.0,13.87
20,Port Alfred,0,ZA,1595372474,26,-33.59,26.89,67.62,9.17
21,Ilulissat,95,GL,1595372431,50,69.22,-51.1,53.6,2.24
22,Thinadhoo,97,MV,1595372697,71,0.53,72.93,84.34,9.86
23,Marsh Harbour,96,BS,1595372403,78,26.54,-77.06,82.85,12.46
24,Ushuaia,32,AR,1595372473,87,-54.8,-68.3,32.0,5.82
25,Sobolevo,4,RU,1595372517,95,54.43,31.9,57.04,10.87
26,Bichena,100,ET,1595372801,100,10.45,38.2,53.92,1.74
27,Djambala,0,CG,1595372745,47,-2.54,14.75,73.49,1.79
28,Jurm,0,AF,1595372801,36,36.86,70.83,62.49,1.1
29,Jumla,100,NP,1595372489,70,29.27,82.18,59.31,1.39
30,Kayerkan,40,RU,1595372520,87,69.35,87.76,51.8,24.61
31,Lærdal,49,NO,1595372801,67,61.1,7.48,46.36,3.38
32,Jamestown,1,US,1595372333,65,42.1,-79.24,78.01,4.5
33,Dikson,100,RU,1595372488,93,73.51,80.55,40.14,9.42
34,Saskylakh,100,RU,1595372504,89,71.92,114.08,46.13,18.19
35,Meulaboh,100,ID,1595372247,90,4.14,96.13,75.24,4.23
36,Yizheng,100,CN,1595372801,10,24.67,103.43,66.0,38.99
37,Beira,20,MZ,1595372780,73,-19.84,34.84,69.8,6.93
38,Hay River,75,CA,1595372581,73,60.82,-115.8,71.6,12.75
39,Abu Kamal,0,SY,1595372586,24,34.45,40.92,85.69,19.48
40,Görele,75,TR,1595372802,64,41.03,39.0,75.2,5.82
41,Hermanus,0,ZA,1595372476,96,-34.42,19.23,46.0,5.39
42,Carolina,75,PR,1595372802,79,18.38,-65.96,84.2,18.34
43,Tuktoyaktuk,75,CA,1595372471,75,69.45,-133.04,42.8,5.82
44,Florianópolis,30,BR,1595372332,68,-27.61,-48.5,72.0,2.24
45,Beloha,19,MG,1595372590,72,-25.17,45.05,60.89,10.04
46,Butaritari,100,KI,1595372490,84,3.07,172.79,78.55,11.05
47,São Filipe,54,CV,1595372559,79,14.9,-24.5,77.27,3.38
48,Palu,67,ID,1595372781,78,-0.89,119.87,76.12,2.93
49,East London,0,ZA,1595372496,27,-33.02,27.91,65.32,6.69
50,Vila,57,PT,1595372588,69,42.03,-8.16,73.4,3.36
51,Khromtau,86,KZ,1595372802,68,50.25,58.43,70.09,10.89
52,Brae,3,GB,1595372557,93,60.4,-1.35,46.4,0.96
53,Bilma,1,NE,1595372428,25,18.69,12.92,91.47,9.53
54,Sorong,27,ID,1595372755,83,-0.88,131.25,78.31,6.64
55,Vaini,40,TO,1595372472,69,-21.2,-175.2,73.4,3.36
56,Nikolskoye,40,RU,1595372502,82,59.7,30.79,63.0,8.95
57,Castro,1,BR,1595372482,84,-24.79,-50.01,58.06,3.8
58,Puerto Ayora,98,EC,1595372473,93,-0.74,-90.35,69.01,8.99
59,Callaway,1,US,1595372803,70,30.15,-85.57,87.8,6.93
60,Stutterheim,0,ZA,1595372516,31,-32.57,27.42,55.38,5.35
61,Busselton,3,AU,1595372476,81,-33.65,115.33,57.99,13.4
62,Tombouctou,22,ML,1595372803,14,20.0,-3.0,101.91,9.04
63,Bethel,1,US,1595372495,45,41.37,-73.41,88.0,8.05
64,Eureka,53,US,1595372445,55,40.8,-124.16,68.0,1.01
65,Portland,20,US,1595372432,33,45.52,-122.68,91.0,8.05
66,Tiksi,98,RU,1595372477,88,71.69,128.87,49.77,3.69
67,Bluff,99,NZ,1595372186,83,-46.6,168.33,39.0,3.0
68,Vostok,0,RU,1595372481,74,46.49,135.88,70.27,2.59
69,Pevek,100,RU,1595372400,58,69.7,170.31,49.87,2.26
70,Bonavista,78,CA,1595372442,72,48.65,-53.11,65.97,10.31
71,Lerwick,11,GB,1595372516,93,60.15,-1.15,46.4,2.24
72,Albany,2,US,1595372479,48,42.6,-73.97,84.0,6.22
73,Hilo,1,US,1595372192,58,19.73,-155.09,84.2,10.29
74,Buchanan,75,LR,1595372804,94,5.88,-10.05,77.0,7.18
75,Bagdarin,4,RU,1595372726,69,54.43,113.6,55.04,1.05
76,Sur,100,OM,1595372463,71,22.57,59.53,84.38,16.06
77,Bengkulu,93,ID,1595372478,87,-3.8,102.27,76.42,7.23
78,Clyde River,90,CA,1595372415,100,70.47,-68.59,44.6,6.93
79,Bell Ville,100,AR,1595372805,98,-32.63,-62.69,53.01,4.0
80,Yatou,100,CN,1595372454,81,37.15,122.38,71.78,1.72
81,Toora-Khem,100,RU,1595372805,86,52.47,96.11,58.41,1.7
82,Cidreira,99,BR,1595372500,68,-30.18,-50.21,66.0,6.98
83,Nālūt,0,LY,1595372448,56,30.33,10.85,75.63,15.48
84,Olinda,40,BR,1595372518,69,-8.01,-34.86,78.8,12.75
85,Berlevåg,99,NO,1595372473,75,70.86,29.09,58.96,6.38
86,Avarua,71,CK,1595372497,78,-21.21,-159.78,78.8,19.46
87,Egvekinot,79,RU,1595372400,54,66.32,-179.17,52.18,3.09
88,Srednekolymsk,15,RU,1595372439,30,67.45,153.68,80.22,16.91
89,Barrow,90,US,1595372474,80,71.29,-156.79,35.6,6.93
90,Somova,0,RO,1595372805,60,45.18,28.67,73.4,12.75
91,Kavieng,4,PG,1595372448,71,-2.57,150.8,83.77,6.91
92,Saint Paul Harbor,1,US,1595372481,43,57.79,-152.41,73.4,11.41
93,Geraldton,0,AU,1595372400,93,-28.77,114.6,48.2,11.41
94,Bredasdorp,0,ZA,1595372487,93,-34.53,20.04,48.2,3.36
95,Silver City,40,US,1595372806,32,32.77,-108.28,84.2,18.34
96,Port-Cartier,75,CA,1595372413,40,50.03,-66.87,73.4,17.22
97,Nipawin,1,CA,1595372714,57,53.37,-104.0,75.2,5.82
98,Qaanaaq,49,GL,1595372483,61,77.48,-69.36,47.52,5.1
99,Lebu,88,CL,1595372476,84,-37.62,-73.65,50.29,9.8
100,Esperance,0,AU,1595372436,81,-33.87,121.9,44.6,17.22
101,Cabo San Lucas,20,MX,1595372323,58,22.89,-109.91,93.2,17.22
102,Camaçari,90,BR,1595372806,94,-12.7,-38.32,71.6,4.7
103,Alta Floresta,0,BR,1595372424,35,-9.88,-56.09,75.43,2.66
104,Talara,72,PE,1595372456,84,-4.58,-81.27,63.84,14.14
105,Khovd,100,MN,1595372570,57,48.01,91.64,66.99,2.3
106,Marabu,40,MY,1595372444,100,4.41,114.01,77.0,2.24
107,Hobart,75,AU,1595372243,70,-42.88,147.33,48.99,8.05
108,Chui,100,UY,1595372414,85,-33.7,-53.46,65.34,6.24
109,Khatanga,35,RU,1595372416,58,71.97,102.5,57.58,11.54
110,Yangi Marg`ilon,0,UZ,1595372455,43,40.43,71.72,71.6,9.17
111,Praia da Vitória,20,PT,1595372765,60,38.73,-27.07,73.4,4.88
112,San Patricio,40,MX,1595372287,70,19.22,-104.7,91.4,23.04
113,Lorengau,38,PG,1595372510,68,-2.02,147.27,84.31,7.78
114,Porosozero,100,RU,1595372807,75,62.72,32.73,60.94,0.27
115,Chapleau,90,CA,1595372807,52,47.84,-83.4,69.8,4.7
116,Airai,81,TL,1595372420,81,-8.93,125.41,57.85,4.38
117,Sosnovo,96,RU,1595372807,80,60.55,30.21,62.01,6.73
118,Benguela,0,AO,1595372508,77,-12.58,13.41,67.93,3.47
119,Saint-Philippe,75,RE,1595372507,77,-21.36,55.77,62.6,8.05
120,Bindura,23,ZW,1595372808,89,-17.3,31.33,48.79,1.41
121,Qaqortoq,75,GL,1595372275,36,60.72,-46.03,62.6,9.17
122,Sioux Lookout,90,CA,1595372510,43,50.1,-91.92,71.6,5.82
123,Joshīmath,39,IN,1595372808,52,30.57,79.57,58.86,2.24
124,Yinchuan,40,CN,1595372709,61,38.47,106.27,71.83,7.09
125,Llata,9,PE,1595372808,71,-9.42,-76.78,50.02,4.79
126,Mackay,40,AU,1595372746,93,-21.15,149.2,64.0,9.17
127,Batyrevo,40,RU,1595372808,93,55.07,47.61,58.12,4.68
128,Hong Kong,2,HK,1595372214,83,22.29,114.16,84.99,5.01
129,Thompson,75,CA,1595372424,28,55.74,-97.86,82.4,11.41
130,Narasannapeta,100,IN,1595372808,86,18.42,84.05,81.82,9.37
131,Esim,94,GH,1595372449,90,4.87,-2.24,75.79,9.8
132,Lompoc,75,US,1595372447,68,34.64,-120.46,69.01,13.87
133,Rawson,100,AR,1595372263,72,-43.3,-65.1,43.29,19.66
134,Rāvar,0,IR,1595372445,22,31.27,56.81,72.25,1.39
135,Guarapari,13,BR,1595372809,87,-20.67,-40.5,75.0,10.0
136,Carutapera,62,BR,1595372414,92,-1.2,-46.02,75.18,5.35
137,Ribeira Grande,22,PT,1595372430,74,38.52,-28.7,69.57,3.49
138,Mossamedes,9,AO,1595372505,61,-15.2,12.15,67.77,3.4
139,Washington,1,US,1595372730,19,47.5,-120.5,96.01,5.82
140,Mudgee,42,AU,1595372809,70,-32.59,149.59,41.0,3.47
141,Hobyo,86,SO,1595372663,78,5.35,48.53,76.95,25.1
142,Tegul'det,89,RU,1595372809,94,57.31,88.17,53.1,6.53
143,Price,1,US,1595372501,16,39.6,-110.81,87.8,12.75
144,Tasiilaq,97,GL,1595372481,70,65.61,-37.64,48.2,6.93
145,Vestmannaeyjar,100,IS,1595372511,84,63.44,-20.27,51.66,8.66
146,Husavik,90,IS,1595372442,71,66.04,-17.34,51.8,8.05
147,College,90,US,1595372530,82,64.86,-147.8,55.4,9.17
148,Saint-François,100,FR,1595372434,60,46.42,3.91,73.4,4.7
149,Ballina,75,AU,1595372304,76,-28.87,153.57,55.4,11.41
150,Borovoy,90,RU,1595372700,100,55.43,86.08,59.0,8.95
151,Gazojak,7,TM,1595372810,22,41.19,61.4,82.49,9.13
152,Arraial do Cabo,0,BR,1595372415,88,-22.97,-42.03,71.6,4.7
153,Atuona,2,PF,1595372471,74,-9.8,-139.03,79.5,15.64
154,Taos,1,US,1595372810,24,36.41,-105.57,78.8,8.05
155,Klaksvík,2,FO,1595372493,93,62.23,-6.59,46.4,2.24
156,Shelburne,75,CA,1595372587,50,44.08,-80.2,77.0,4.7
157,Tazovsky,46,RU,1595372421,84,67.47,78.7,43.03,17.43
158,Necochea,100,AR,1595372516,94,-38.55,-58.74,51.01,20.0
159,Zyryanka,60,RU,1595372445,35,65.75,150.85,79.61,23.55
160,São João da Barra,0,BR,1595372293,88,-21.64,-41.05,71.98,15.88
161,Faanui,52,PF,1595372435,83,-16.48,-151.75,76.86,23.22
162,Shimoda,71,JP,1595372464,84,34.67,138.95,77.0,1.99
163,Herat Province,0,AF,1595372546,17,34.5,62.0,78.75,16.64
164,Laas,40,IT,1595372475,93,46.62,10.7,60.01,5.82
165,Yerofey Pavlovich,37,RU,1595372811,85,53.97,121.97,54.75,1.86
166,Rosarito,5,MX,1595372433,64,32.33,-117.03,78.01,18.34
167,Pisco,4,PE,1595372442,77,-13.7,-76.22,64.4,10.29
168,Ponta do Sol,20,PT,1595372519,68,32.67,-17.1,71.6,9.17
169,Cedar City,1,US,1595372585,15,37.68,-113.06,87.8,10.29
170,Kjøllefjord,100,NO,1595372676,88,70.95,27.35,55.26,0.69
171,Upernavik,99,GL,1595372509,58,72.79,-56.15,48.96,6.42
172,Birkenfeld,16,DE,1595372812,55,48.87,8.63,64.0,5.82
173,Ostrovnoy,0,RU,1595372503,68,68.05,39.51,59.92,8.34
174,São Félix do Xingu,19,BR,1595372738,50,-6.64,-51.99,76.89,1.97
175,Champasak,62,LA,1595372780,99,14.75,106.0,72.84,2.68
176,Ust-Nera,39,RU,1595372723,39,64.57,143.2,75.81,6.31
177,Muros,0,ES,1595372534,78,42.78,-9.06,66.99,5.01
178,Iwanai,100,JP,1595372725,90,42.97,140.51,71.08,1.66
179,Kichera,37,RU,1595372401,51,55.94,110.1,59.74,1.19
180,Atar,47,MR,1595372423,30,20.52,-13.05,94.08,7.76
181,Chokurdakh,100,RU,1595372476,37,70.63,147.92,78.42,12.64
182,Meadow Lake,75,US,1595372599,22,34.8,-106.54,87.8,33.33
183,Coria,81,ES,1595372813,63,39.99,-6.54,73.99,3.0
184,Carnarvon,0,AU,1595372493,100,-24.87,113.63,59.0,8.05
185,Mweka,0,CD,1595372813,38,-4.85,21.57,69.4,0.65
186,Hewitt,20,US,1595372813,52,31.46,-97.2,91.4,8.05
187,Laguna,1,US,1595372172,44,38.42,-121.42,84.0,9.17
188,Fare,28,PF,1595372745,79,-16.7,-151.02,77.25,23.76
189,San Quintín,8,MX,1595372451,69,30.48,-115.95,71.51,16.8
190,Maïné Soroa,5,NE,1595372814,42,13.21,12.02,86.94,6.89
191,Skjervøy,100,NO,1595372814,97,70.03,20.97,49.44,8.3
192,Ürümqi,6,CN,1595372814,44,43.8,87.6,75.2,11.18
193,Bambous Virieux,75,MU,1595372482,72,-20.34,57.76,68.0,13.87
194,New Norfolk,100,AU,1595372416,79,-42.78,147.06,48.99,1.99
195,Corinth,0,GR,1595372717,45,37.94,22.96,80.01,1.99
196,Pierre,1,US,1595372481,37,44.37,-100.35,82.99,10.29
197,Shebunino,100,RU,1595372814,93,46.43,141.86,60.91,13.24
198,Makkah al Mukarramah,92,SA,1595372620,66,21.43,39.83,84.07,4.45
199,Ambulu,44,ID,1595372763,87,-8.35,113.61,74.64,2.37
200,Cayenne,75,GF,1595372195,94,4.93,-52.33,77.0,1.12
201,Poum,2,NC,1595372499,59,-20.23,164.02,70.0,6.35
202,Yar-Sale,23,RU,1595372675,73,66.83,70.83,47.44,4.21
203,Torbay,40,CA,1595372536,69,47.67,-52.73,73.4,18.34
204,Portel,47,BR,1595372815,71,-1.94,-50.82,80.13,2.68
205,Lagoa Nova,46,BR,1595372815,78,-6.1,-36.48,66.34,15.57
206,Cândido Mendes,84,BR,1595372815,95,-1.45,-45.72,74.48,3.56
207,Vila Franca do Campo,20,PT,1595372585,77,37.72,-25.43,64.4,4.7
208,Vardø,82,NO,1595372431,73,70.37,31.11,59.7,8.72
209,Utete,92,TZ,1595372815,86,-7.99,38.76,69.87,3.62
210,Shingū,75,JP,1595372512,78,33.73,135.98,82.4,4.7
211,Tibati,99,CM,1595372815,95,6.47,12.63,65.5,2.51
212,Lavrentiya,51,RU,1595372415,65,65.58,-171.0,48.76,6.44
213,Severo-Kuril'sk,24,RU,1595372502,81,50.68,156.12,52.23,9.55
214,Labuan,20,MY,1595372692,100,5.28,115.24,78.8,8.03
215,Kahului,20,US,1595372417,52,20.89,-156.47,87.8,14.99
216,Nizwá,100,OM,1595372441,69,22.93,57.53,81.32,5.08
217,Nome,75,US,1595372423,71,64.5,-165.41,57.0,16.11
218,Zhigansk,100,RU,1595372428,92,66.77,123.37,55.85,24.34
219,Cabra,2,ES,1595372816,67,37.47,-4.44,75.0,3.0
220,Sampit,28,ID,1595372659,97,-2.53,112.95,74.35,2.37
221,Dilla,100,ET,1595372498,81,6.41,38.31,61.27,2.98
222,Kupang,20,ID,1595372731,78,-10.17,123.58,75.2,11.41
223,Quito,75,EC,1595372619,68,-0.23,-78.52,64.4,12.75
224,Mildura,90,AU,1595372426,100,-34.2,142.15,39.0,5.82
225,Saint George,20,US,1595372505,23,37.1,-113.58,95.0,17.22
226,Karlstad,74,SE,1595372817,93,59.38,13.5,53.01,5.82
227,Eshowe,0,ZA,1595372817,62,-28.89,31.47,50.18,3.78
228,Billings Metropolitan Area,20,US,1595372817,21,45.78,-108.5,91.4,8.05
229,Sept-Îles,75,CA,1595372413,40,50.2,-66.38,73.4,17.22
230,Eyemouth,100,GB,1595372784,70,55.87,-2.09,54.0,9.86
231,Santa Isabel Rio Negro,58,BR,1595372795,81,-0.41,-65.02,77.49,2.37
232,Kununurra,1,AU,1595372562,32,-15.77,128.73,66.2,6.93
233,Iqaluit,90,CA,1595372194,87,63.75,-68.51,48.2,8.05
234,Comodoro Rivadavia,40,AR,1595372408,80,-45.87,-67.5,39.2,10.29
235,Katherine,47,AU,1595372251,33,-14.47,132.27,60.8,8.05
236,Ouadda,52,CF,1595372216,95,8.08,22.4,66.99,3.4
237,Mar del Plata,90,AR,1595372442,100,-38.0,-57.56,51.8,21.92
238,Launceston,40,AU,1595372451,100,-41.45,147.17,37.0,0.58
239,Kavaratti,100,IN,1595372525,83,10.57,72.64,80.6,17.22
240,Yantal',48,RU,1595372817,61,56.85,105.25,55.99,2.44
241,Jackson,1,US,1595372818,25,42.42,-122.83,100.0,8.05
242,Puerto Ayacucho,40,VE,1595372754,58,5.66,-67.62,86.0,2.35
243,Caravelas,0,BR,1595372420,77,-17.71,-39.25,69.1,4.05
244,Hohhot,76,CN,1595372770,72,40.81,111.65,62.6,4.47
245,Kaitangata,40,NZ,1595372406,64,-46.28,169.85,46.0,8.01
246,Eyl,19,SO,1595372427,67,7.98,49.82,79.5,28.07
247,Zhangye,32,CN,1595372739,34,38.93,100.45,71.62,5.5
248,Kirakira,17,SB,1595372536,69,-10.45,161.92,81.79,6.6
249,Kawalu,80,ID,1595372693,92,-7.38,108.21,71.2,0.94
250,George Town,20,MY,1595372192,94,5.41,100.34,78.8,2.24
251,Paita,89,PE,1595372603,82,-5.09,-81.11,64.02,15.03
252,Goderich,20,CA,1595372602,79,43.75,-81.72,70.0,6.93
253,Vao,52,NC,1595372477,76,-22.67,167.48,68.0,20.74
254,Okhotsk,0,RU,1595372434,63,59.38,143.3,60.71,3.49
255,Saldanha,0,ZA,1595372499,87,-33.01,17.94,53.6,2.24
256,Los Llanos de Aridane,90,ES,1595372419,73,28.66,-17.92,73.4,16.11
257,Haileybury,1,CA,1595372819,53,47.45,-79.64,71.6,3.36
258,Umm Hājar,56,TD,1595372433,63,13.3,19.7,83.14,8.79
259,Chiang Khong,100,TH,1595372819,99,20.26,100.4,68.0,0.56
260,Norman Wells,90,CA,1595372461,82,65.28,-126.83,55.4,14.99
261,Noumea,90,NC,1595372158,83,-22.28,166.46,69.8,4.7
262,Te Anau,41,NZ,1595372497,79,-45.42,167.72,38.14,3.47
263,Dongkan,100,CN,1595372819,97,34.0,119.83,69.48,6.71
264,Codrington,100,AU,1595372513,83,-38.27,141.97,50.27,7.58
265,Adrar,85,MR,1595372444,21,20.5,-10.07,94.37,4.99
266,Saint-Pierre,75,RE,1595372582,77,-21.34,55.48,62.6,8.05
267,Gizo Government Station,36,SB,1595372477,81,-8.1,156.84,81.05,20.09
268,Dushanbe,40,TJ,1595372819,34,38.56,68.78,78.8,8.95
269,Marzuq,100,YE,1595372677,56,14.4,46.47,81.75,6.44
270,Dubbo,80,AU,1595372753,87,-32.25,148.62,42.8,11.41
271,Elban,72,RU,1595372820,87,50.1,136.51,68.2,8.12
272,Arua,82,UG,1595372820,93,3.02,30.91,63.64,4.72
273,Santo Antônio do Içá,41,BR,1595372743,68,-3.1,-67.94,79.03,1.07
274,Touros,75,BR,1595372540,78,-5.2,-35.46,75.2,5.82
275,Kumul,17,CN,1595372591,43,42.8,93.45,73.06,9.15
276,Zeya,67,RU,1595372529,68,53.75,127.27,64.63,8.08
277,Puerto Carreño,40,CO,1595372669,58,6.19,-67.49,86.0,4.7
278,Butembo,91,CD,1595372753,98,0.15,29.28,57.49,1.86
279,Newport,20,GB,1595372762,80,51.59,-3.0,59.0,4.14
280,Dingle,99,PH,1595372513,89,11.0,122.67,77.92,4.52
281,Aklavik,90,CA,1595372446,81,68.22,-135.01,46.4,5.82
282,Littleton,75,US,1595372650,44,39.61,-105.02,82.0,6.93
283,Olafsvik,100,IS,1595372485,73,64.89,-23.71,49.44,2.17
284,Dinar,0,TR,1595372821,49,38.06,30.17,71.6,19.46
285,Khani,90,GE,1595372744,88,41.96,42.96,71.6,6.93
